ID,title,author,publisher,first_published_year,language,cover_image
917,Barnaby Rudge: A Tale of the Riots of 'Eighty,"Dickens,  Charles",Project Gutenberg, 2006,English,https://www.gutenberg.org/cache/epub/917/pg917.cover.medium.jpg
1021,"The Congo, and Other Poems","Lindsay,  Vachel",Project Gutenberg, 1997,English,https://www.gutenberg.org/cache/epub/1021/pg1021.cover.medium.jpg
11027,Grimm's Fairy Stories,"Grimm,  Jacob",Project Gutenberg, 2004,English,https://www.gutenberg.org/cache/epub/11027/pg11027.cover.medium.jpg
1164,The iron heel,"London,  Jack",Project Gutenberg, 2006,English,https://www.gutenberg.org/cache/epub/1164/pg1164.cover.medium.jpg
151,The Rime of the Ancient Mariner,"Coleridge,  Samuel Taylor",Project Gutenberg, 2006,English,https://www.gutenberg.org/cache/epub/151/pg151.cover.medium.jpg
10636,The Travels of Marco Polo — Volume 1,"Polo,  Marco",Project Gutenberg, 2004,English,https://www.gutenberg.org/cache/epub/10636/pg10636.cover.medium.jpg
852,Democracy and Education: An Introduction to the Philosophy of Education,"Dewey,  John",Project Gutenberg, 1997,English,https://www.gutenberg.org/cache/epub/852/pg852.cover.medium.jpg
445,The crowd :  A study of the popular mind,"Le Bon,  Gustave",Project Gutenberg, 1996,English,https://www.gutenberg.org/cache/epub/445/pg445.cover.medium.jpg
75222,The Draycott murder mystery,"Thynne,  Molly",Project Gutenberg, 2025,English,https://www.gutenberg.org/cache/epub/75222/pg75222.cover.medium.jpg
9105,Reflections; or Sentences and Moral Maxims,"La Rochefoucauld,  François duc de",Project Gutenberg, 2005,English,https://www.gutenberg.org/cache/epub/9105/pg9105.cover.medium.jpg
500,The Adventures of Pinocchio,"Collodi,  Carlo",Project Gutenberg, 2006,English,https://www.gutenberg.org/cache/epub/500/pg500.cover.medium.jpg
4367,"Personal Memoirs of U. S. Grant, Complete","Grant,  Ulysses S. (Ulysses Simpson)",Project Gutenberg, 2004,English,https://www.gutenberg.org/cache/epub/4367/pg4367.cover.medium.jpg
8578,The Grand Inquisitor,"Dostoyevsky,  Fyodor",Project Gutenberg, 2005,English,https://www.gutenberg.org/cache/epub/8578/pg8578.cover.medium.jpg
41907,Demian: Die Geschichte von Emil Sinclairs Jugend,"Hesse,  Hermann",Project Gutenberg, 2013,German,https://www.gutenberg.org/cache/epub/41907/pg41907.cover.medium.jpg
23045,Measure for MeasureThe Works of William Shakespeare [Cambridge Edition] [9 vols.],"Shakespeare,  William",Project Gutenberg, 2007,English,https://www.gutenberg.org/cache/epub/23045/pg23045.cover.medium.jpg
1974,The Poetics of Aristotle,Aristotle,Project Gutenberg, 1999,English,https://www.gutenberg.org/cache/epub/1974/pg1974.cover.medium.jpg
20239,The Ten Books on Architecture,Vitruvius Pollio,Project Gutenberg, 2006,English,https://www.gutenberg.org/cache/epub/20239/pg20239.cover.medium.jpg
20686,Pride and Prejudice,"Austen,  Jane",Project Gutenberg, 2007,English,https://www.gutenberg.org/cache/epub/20686/pg20686.cover.medium.jpg
33550,"Encyclopaedia Britannica, 11th Edition, ""Bisharin"" to ""Bohea""Volume 4, Slice 1",Various,Project Gutenberg, 2010,English,https://www.gutenberg.org/cache/epub/33550/pg33550.cover.medium.jpg
