ID,title,subtitle,author,publisher,first_published_year,language,cover_image,pages,rating,isbn_10,isbn_13
OL29719953W,Fantasy Coloring,A Fantasy Coloring Book for Adults,Kim Jones,Independently Published,           2018         ,English,/images/icons/avatar_book.png,,,,9781983213953
OL15921403W,Fantasy,,Jacqueline Furby,Routledge,           2011         ,English,//covers.openlibrary.org/b/id/12141865-M.jpg,185,,,9780415486873
OL5734773W,"Memories of Ice (The Malazan Book of the Fallen, Book 3)",,Steven Erikson,Tor Fantasy,           2001         ,English,//covers.openlibrary.org/b/id/525198-M.jpg,944,4.5 (25 ratings),0765348802,
OL102576W,Spellsinger,,Alan Dean Foster,Open Road Media Sci-Fi & Fantasy,           1981         ,,//covers.openlibrary.org/b/id/12009050-M.jpg,422,3.0 (5 ratings),1497601622,
OL17744403W,Microworlds,Writings on Science Fiction and Fantasy,Stanisław Lem,Harcourt Brace Jovanovich,           1984         ,English,//covers.openlibrary.org/b/id/12911481-M.jpg,285,,0151594805,
OL41769425W,Mermaid Primary Story Journal Composition Book :,"Grade Level K-2 Draw and Write, Dotted Midline Creative Picture Notebook Early Childhood to Kindergarten Watercolor",Fantasy Journals,CreateSpace Independent Publishing Platform,           2018         ,English,/images/icons/avatar_book.png,200,,,9781725171046
OL29144625W,Fantasy,,Mirjana Doline,"Lulu Press, Inc.",           2018         ,English,/images/icons/avatar_book.png,,,,9781387909667
OL41394077W,Castle Guardian,"A Castle Guarded by a Ferocious, Protective Fire-Breathing Dragon",Fantasy Journals,CreateSpace Independent Publishing Platform,           2018         ,English,/images/icons/avatar_book.png,200,,,9781722830878
OL25903620W,Gild,TikTok Made Me Buy It! the TikTok Fantasy Sensation,Raven Kennedy,"Penguin Books, Limited",           2020         ,English,/images/icons/avatar_book.png,,,,9781405955003
OL29436936W,Fantasy Football Weekly,Fantasy Football Log,Journals for All Staff,Independently Published,           2017         ,English,/images/icons/avatar_book.png,,,,9781521883174
